id,time,isRank,winner_name,winner_god_1,winner_god_2,winner_god_ban,winner_deck_code,winner_normal_card_1,winner_normal_card_2,winner_normal_card_3,winner_normal_card_4,winner_normal_card_5,winner_normal_card_6,winner_normal_card_7,winner_special_card_1,winner_special_card_2,winner_special_card_3,loser_name,loser_god_1,loser_god_2,loser_god_ban,loser_deck_code,loser_normal_card_1,loser_normal_card_2,loser_normal_card_3,loser_normal_card_4,loser_normal_card_5,loser_normal_card_6,loser_normal_card_7,loser_special_card_1,loser_special_card_2,loser_special_card_3,loser_isPublic,winner_isPublic
1037,2022-10-13 10:46:31.303322,1,º¸¸ð¾î,09-O,03-O,15-O,090D02030F69,09-O-N-1,09-O-N-3,03-O-N-1,03-O-N-2,03-O-N-3,03-O-N-5,03-O-N-6,09-O-S-3,03-O-S-1,03-O-S-4,ÃÌÀå¼ÛÀÌ¾ç,01-A2,15-O,07-O,012D08150D7A,01-O-N-1,01-A2-N-3,15-O-N-1,15-O-N-3,15-O-N-5,15-O-N-6,15-O-N-7,01-A2-S-1,15-O-S-1,15-O-S-3,1,1
1038,2022-10-13 13:20:08.186256,0,Drone,04-O,14-A1,None,040E38141E2A,04-O-N-1,04-O-N-2,04-O-N-6,04-O-N-7,14-A1-N-1,14-O-N-2,14-O-N-6,04-O-S-1,14-A1-S-1,14-O-S-3,AN,01-O,04-O,None,010FC4040E0C,01-O-N-1,01-O-N-2,01-O-N-3,01-O-N-4,01-O-N-5,04-O-N-1,04-O-N-2,01-O-S-2,04-O-S-1,04-O-S-2,1,1
1039,2022-10-13 13:27:00.267896,0,0xrgb,14-A1,12-A1,10-A1,141EAA121E24,14-A1-N-1,14-O-N-2,14-O-N-4,14-O-N-6,12-O-N-1,12-A1-N-2,12-A1-N-6,14-A1-S-1,14-O-S-3,12-O-S-2,byeoru,17-A1,04-A2,07-A1,171CA3042E98,17-O-N-1,17-A1-N-4,17-O-N-6,04-O-N-1,04-A2-N-2,04-O-N-4,04-O-N-7,17-O-S-3,17-A1-S-4,04-O-S-1,1,1
1040,2022-10-13 13:48:19.248208,1,0xrgb,09-A1,16-O,22-O,091D41160F89,09-O-N-1,09-O-N-3,09-A1-N-5,16-O-N-1,16-O-N-2,16-O-N-3,16-O-N-4,09-A1-S-4,16-O-S-1,16-O-S-4,byeoru,05-O,18-O,13-O,050D41180AE3,05-O-N-1,05-O-N-3,05-O-N-5,18-O-N-2,18-O-N-4,18-O-N-5,18-O-N-6,05-O-S-4,18-O-S-3,18-O-S-4,1,1
1041,2022-10-13 17:12:39.861759,0,horain,05-O,09-O,16-A1,050E43090F28,05-O-N-1,05-O-N-2,05-O-N-5,09-O-N-1,09-O-N-2,09-O-N-3,09-O-N-6,05-O-S-3,05-O-S-4,09-O-S-1,CrobiS47,14-O,21-O,01-O,140EA6210E12,14-O-N-1,14-O-N-2,14-O-N-4,14-O-N-6,21-O-N-1,21-O-N-2,21-O-N-7,14-O-S-2,14-O-S-3,21-O-S-3,1,1
1042,2022-10-13 17:35:11.041008,0,CrobiS47,01-O,04-O,14-O,010F81040E19,01-O-N-1,01-O-N-2,01-O-N-3,01-O-N-4,04-O-N-1,04-O-N-2,04-O-N-7,01-O-S-4,04-O-S-1,04-O-S-4,horain,01-O,02-A2,16-A1,010CC0022D9E,01-O-N-1,01-O-N-4,01-O-N-5,02-O-N-1,02-O-N-3,02-O-N-4,02-A2-N-7,02-O-S-1,02-O-S-2,02-A2-S-3,1,1
1043,2022-10-14 05:21:35.575488,1,PuniPaw,12-A1,14-O,03-O,121A68140EA6,12-A1-N-2,12-O-N-5,12-A1-N-6,14-O-N-1,14-O-N-2,14-O-N-4,14-O-N-6,12-O-S-1,14-O-S-2,14-O-S-3,Hyoue_O,10-A2,11-O,14-O,102A28110F39,10-A2-N-2,10-O-N-6,11-O-N-1,11-O-N-2,11-O-N-3,11-O-N-6,11-O-N-7,10-O-S-1,11-O-S-1,11-O-S-4,1,1
1044,2022-10-14 05:48:07.839973,1,Hyoue_O,10-O,05-O,07-O,100B6C050D88,10-O-N-2,10-O-N-3,10-O-N-5,10-O-N-6,05-O-N-1,05-O-N-3,05-O-N-4,10-O-S-1,10-O-S-2,05-O-S-1,PuniPaw,01-O,11-O,18-O,010F88110C5C,01-O-N-1,01-O-N-2,01-O-N-3,01-O-N-4,11-O-N-1,11-O-N-5,11-O-N-7,01-O-S-1,11-O-S-1,11-O-S-2,1,1
1045,2022-10-14 06:01:43.163543,1,Hyoue_O,10-O,01-A2,07-O,100B02012F9C,10-O-N-2,10-O-N-3,01-O-N-1,01-O-N-2,01-A2-N-3,01-O-N-4,01-A2-N-7,10-O-S-3,01-A2-S-1,01-O-S-2,PuniPaw,03-O,09-O,12-A1,030B6A090D42,03-O-N-2,03-O-N-3,03-O-N-5,03-O-N-6,09-O-N-1,09-O-N-3,09-O-N-5,03-O-S-1,03-O-S-3,09-O-S-3,1,1
1046,2022-10-14 07:33:57.199278,0,vwut731585,11-O,10-O,None,1108F110096C,11-O-N-4,11-O-N-5,11-O-N-6,11-O-N-7,10-O-N-3,10-O-N-5,10-O-N-6,11-O-S-4,10-O-S-1,10-O-S-2,tkdr952591,10-O,09-O,None,100E2A090F44,10-O-N-1,10-O-N-2,10-O-N-6,09-O-N-1,09-O-N-2,09-O-N-3,09-O-N-5,10-O-S-1,10-O-S-3,09-O-S-2,1,1
1047,2022-10-14 10:06:53.039378,1,hihumi,05-O,12-A1,22-O,050E21121EA9,05-O-N-1,05-O-N-2,05-O-N-6,12-O-N-1,12-A1-N-2,12-O-N-4,12-A1-N-6,05-O-S-4,12-O-S-1,12-O-S-4,Siper,10-A1,14-O,01-A2,101D62140E86,10-A1-N-1,10-A1-N-3,10-O-N-5,10-O-N-6,14-O-N-1,14-O-N-2,14-O-N-4,10-A1-S-3,14-O-S-2,14-O-S-3,1,1
1048,2022-10-14 10:28:45.635119,0,¿Â¸®,13-A1,16-A1,None,131E09161FC8,13-O-N-1,13-A1-N-2,16-O-N-1,16-O-N-2,16-O-N-3,16-O-N-4,16-O-N-5,13-A1-S-1,13-O-S-4,16-A1-S-4,BIUEAPPLE,05-A1,08-O,None,051E88080CB6,05-O-N-1,05-A1-N-2,05-O-N-4,08-O-N-1,08-O-N-4,08-O-N-6,08-O-N-7,05-O-S-1,08-O-S-2,08-O-S-3,1,1
1049,2022-10-14 10:43:12.256173,1,Siper,02-O,01-O,09-O,020D28010F45,02-O-N-1,02-O-N-3,02-O-N-6,01-O-N-1,01-O-N-2,01-O-N-3,01-O-N-5,02-O-S-1,01-O-S-2,01-O-S-4,hihumi,22-O,12-A1,05-O,220F28121E23,22-O-N-1,22-O-N-2,22-O-N-3,22-O-N-6,12-O-N-1,12-A1-N-2,12-A1-N-6,22-O-S-1,12-A1-S-3,12-O-S-4,1,1
1050,2022-10-14 12:05:21.974750,0,Asd,14-O,13-O,None,140E26130E64,14-O-N-1,14-O-N-2,14-O-N-6,13-O-N-1,13-O-N-2,13-O-N-5,13-O-N-6,14-O-S-2,14-O-S-3,13-O-S-2,¼­µµÄ¡4,05-O,06-O,None,050C81060F69,05-O-N-1,05-O-N-4,06-O-N-1,06-O-N-2,06-O-N-3,06-O-N-5,06-O-N-6,05-O-S-4,06-O-S-1,06-O-S-4,1,1
1051,2022-10-14 13:43:40.772254,0,¿Â¸®,13-O,03-O,None,130E48030F49,13-O-N-1,13-O-N-2,13-O-N-5,03-O-N-1,03-O-N-2,03-O-N-3,03-O-N-5,13-O-S-1,03-O-S-1,03-O-S-4,BIUEAPPLE,08-O,05-A1,None,080CE5051E84,08-O-N-1,08-O-N-4,08-O-N-5,08-O-N-6,05-O-N-1,05-A1-N-2,05-O-N-4,08-O-S-2,08-O-S-4,05-O-S-2,1,1
1052,2022-10-14 14:11:01.502879,0,¿Â¸®,08-A1,03-A1,None,081E89031BC4,08-A1-N-1,08-A1-N-2,08-O-N-4,03-A1-N-2,03-O-N-3,03-O-N-4,03-A1-N-5,08-A1-S-1,08-O-S-4,03-A1-S-2,BIUEAPPLE,09-O,14-O,None,0908F0140CCB,09-O-N-4,09-O-N-5,09-O-N-6,09-O-N-7,14-O-N-1,14-O-N-4,14-O-N-5,14-O-S-1,14-O-S-3,14-O-S-4,1,1
1053,2022-10-14 14:34:33.904457,0,¿Â¸®,08-A1,01-A1,16-A1,081E98011E89,08-A1-N-1,08-A1-N-2,08-O-N-4,08-O-N-7,01-A1-N-1,01-O-N-2,01-O-N-4,08-A1-S-1,01-O-S-1,01-O-S-4,BIUEAPPLE,09-O,18-O,14-O,090B9B180960,09-O-N-2,09-O-N-3,09-O-N-4,09-O-N-7,18-O-N-3,18-O-N-5,18-O-N-6,09-O-S-1,09-O-S-3,09-O-S-4,1,1
1054,2022-10-14 14:39:33.749997,0,N_N_M_,02-A2,08-O,None,022E97080E20,02-O-N-1,02-A2-N-2,02-O-N-4,02-A2-N-7,08-O-N-1,08-O-N-2,08-O-N-6,02-O-S-2,02-A2-S-3,02-O-S-4,Coffeetea,06-O,22-O,None,06090C220FB8,06-O-N-3,22-O-N-1,22-O-N-2,22-O-N-3,22-O-N-4,22-O-N-6,22-O-N-7,06-O-S-1,06-O-S-2,22-O-S-1,1,1
1055,2022-10-14 14:40:02.527986,0,¼­µµÄ¡4,02-O,05-A1,09-O,020F86051CA1,02-O-N-1,02-O-N-2,02-O-N-3,02-O-N-4,05-O-N-1,05-O-N-4,05-O-N-6,02-O-S-2,02-O-S-3,05-A1-S-4,Asd,04-O,10-O,02-O,040E92100D2A,04-O-N-1,04-O-N-2,04-O-N-4,04-O-N-7,10-O-N-1,10-O-N-3,10-O-N-6,04-O-S-3,10-O-S-1,10-O-S-3,1,1
